,CORN,COW.TO,CPER,GLD,USO,USO_mom_1m,USO_mom_3m,USO_mom_12m,GLD_mom_1m,GLD_mom_3m,GLD_mom_12m,CPER_mom_1m,CPER_mom_3m,CPER_mom_12m,CORN_mom_1m,CORN_mom_3m,CORN_mom_12m,COW.TO_mom_1m,COW.TO_mom_3m,COW.TO_mom_12m,CORN_ewma_1w_ewma_1m,CORN_ewma_1m,COW.TO_ewma_1w_ewma_1m,COW.TO_ewma_1m,CPER_ewma_1w_ewma_1m,CPER_ewma_1m,GLD_ewma_1w_ewma_1m,GLD_ewma_1m,USO_ewma_1w_ewma_1m,USO_ewma_1m,CORN_ewma_1w_1w,CORN,COW.TO_ewma_1w_1w,COW.TO,CPER_ewma_1w_1w,CPER,GLD_ewma_1w_1w,GLD,USO_ewma_1w_1w,USO,CORN_vol_1m,CORN_vol_3m,COW.TO_vol_1m,COW.TO_vol_3m,CPER_vol_1m,CPER_vol_3m,GLD_vol_1m,GLD_vol_3m,USO_vol_1m,USO_vol_3m,USD_Index,WTI_Oil,Copper_Spot,VIX,MOVE
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0671,59.02,6031.20909090909,,
2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0671,59.02,6031.20909090909,,
2020-01-13,14.850000381469727,44.34278106689453,17.920000076293945,145.82000732421875,97.5999984741211,,,,,,,,,,,,,,,,0.002744340925198256,0.0004371072638216549,0.0013480954416346448,-0.00024375908410210627,0.006891161560441056,0.0030845849620026325,-0.0017040794798890606,0.0008296010248927868,-0.01270370373390231,-0.008763618263870279,0.002744340925198256,0.002744340925198256,0.0013480954416346448,0.0013480954416346448,0.006891161560441056,0.006891161560441056,-0.0017040794798890606,-0.0017040794798890606,-0.01270370373390231,-0.01270370373390231,,,,,,,,,,,115.0337,58.17,6031.20909090909,12.319999694824219,53.27000045776367
2020-01-14,14.859999656677246,44.35306167602539,17.979999542236328,145.69000244140625,98.23999786376953,,,,,,,,,,,,,,,,0.002025981986153785,0.00047736420390152894,0.0009609040326028805,-0.00016271457613737685,0.005662217722426463,0.0031295032807735447,-0.0014222371101294852,0.0005363117080073878,-0.0060226616688459035,-0.006152865753198312,0.002025981986153785,0.002025981986153785,0.0009609040326028805,0.0009609040326028805,0.005662217722426463,0.005662217722426463,-0.0014222371101294852,-0.0014222371101294852,-0.0060226616688459035,-0.0060226616688459035,,,,,,,,,,,115.0233,58.34,6031.20909090909,12.390000343322754,52.349998474121094
2020-01-15,14.800000190734863,43.95237350463867,17.950000762939453,146.5399932861328,97.44000244140625,,,,,,,,,,,,,,,,-4.9208891108145986e-05,-0.00023535339965514567,-0.002459728786380315,-0.001563100948834152,0.0031534008203695997,0.0023721217644767155,0.0010611891353998395,0.001372616805423892,-0.00674841155123616,-0.006467062042279212,-4.9208891108145986e-05,-4.9208891108145986e-05,-0.002459728786380315,-0.002459728786380315,0.0031534008203695997,0.0031534008203695997,0.0010611891353998395,0.0010611891353998395,-0.00674841155123616,-0.00674841155123616,,,,,,,,,,,114.9526,57.86,6031.20909090909,12.420000076293945,50.540000915527344
2020-01-16,14.4399995803833,44.22977066040039,17.860000610351562,146.30999755859375,98.31999969482422,,,,,,,,,,,,,,,,-0.00828372681662481,-0.0037993313506064787,0.0005155474189475239,-0.00039807868104619584,0.00038291072191943995,0.0012793518868353276,0.00016881487398095931,0.0009373283481847319,-0.0013957272075912335,-0.004174093007663084,-0.00828372681662481,-0.00828372681662481,0.0005155474189475239,0.0005155474189475239,0.00038291072191943995,0.00038291072191943995,0.00016881487398095931,0.00016881487398095931,-0.0013957272075912335,-0.0013957272075912335,,,,,,,,,,,114.9999,58.52,6031.20909090909,12.319999694824219,50.369998931884766
2020-01-17,14.819999694824219,44.34278106689453,17.8700008392334,146.5800018310547,98.63999938964844,,,,,,,,,,,,,,,,0.0033843429642518613,0.00041577770620896374,0.001203341739925467,1.526396206274817e-05,0.00044260501166427295,0.0011786559782295033,0.0007342219290693823,0.0010644315905373072,0.00017253777322203523,-0.00313431433326046,0.0033843429642518613,0.0033843429642518613,0.001203341739925467,0.001203341739925467,0.00044260501166427295,0.00044260501166427295,0.0007342219290693823,0.0007342219290693823,0.00017253777322203523,0.00017253777322203523,,,,,,,,,,,115.0642,58.55,6031.20909090909,12.100000381469727,49.66999816894531
2020-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0642,58.55,6031.20909090909,,
2020-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0642,58.55,6031.20909090909,,
2020-01-20,,44.40442657470703,,,,,,,,,,,,,,,,,,,0.0022474663406215544,0.00036030414756530843,0.0012661129307272128,0.00019871009430090733,0.00029392407223886657,0.0010213982884770178,0.00048758033377815197,0.0009224138551511919,0.00011457846970543061,-0.0027161303677007767,0.0022474663406215544,0.0022474663406215544,0.0012661129307272128,0.0012661129307272128,0.00029392407223886657,0.00029392407223886657,0.00048758033377815197,0.00048758033377815197,0.00011457846970543061,0.00011457846970543061,,,,,,,,,,,115.0642,58.55,6031.20909090909,,
2020-01-21,14.770000457763672,43.890724182128906,17.5,146.74000549316406,97.91999816894531,,,,,,,,,,,,,,,,0.0003640441846873352,-0.00011758415217470096,-0.003034261139488997,-0.0013072912548374093,-0.006741915161172485,-0.001759174212374339,0.0006899530838759317,0.0009440636999221304,-0.002369472144111284,-0.0033026843590372827,0.0003640441846873352,0.0003640441846873352,-0.003034261139488997,-0.003034261139488997,-0.006741915161172485,-0.006741915161172485,0.0006899530838759317,0.0006899530838759317,-0.002369472144111284,-0.002369472144111284,,,,,,,,,,,115.1865,58.25,6031.20909090909,12.850000381469727,53.41999816894531
2020-01-22,14.770000457763672,43.849632263183594,17.399999618530273,146.7899932861328,95.19999694824219,,,,,,,,,,,,,,,,0.0002422790180820473,-0.00010307360256607177,-0.00233251440863274,-0.001261500495440408,-0.006398201892833501,-0.002247260037713749,0.0005731203537505999,0.0008695997168265215,-0.010868023363964164,-0.006323050956836488,0.0002422790180820473,0.0002422790180820473,-0.00233251440863274,-0.00233251440863274,-0.006398201892833501,-0.006398201892833501,0.0005731203537505999,0.0005731203537505999,-0.010868023363964164,-0.010868023363964164,,,,,,,,,,,115.2264,56.76,6031.20909090909,12.90999984741211,51.310001373291016
2020-01-23,14.869999885559082,43.58250427246094,17.139999389648438,147.1199951171875,93.27999877929688,,,,,,,,,,,,,,,,0.0024233140017094327,0.0007184600559141372,-0.003588514375643607,-0.0018388387807517627,-0.00925283433930756,-0.0037646206711758287,0.0011327322384855024,0.0010343629413779153,-0.013975127352878564,-0.007977827444431505,0.0024233140017094327,0.0024233140017094327,-0.003588514375643607,-0.003588514375643607,-0.00925283433930756,-0.00925283433930756,0.0011327322384855024,0.0011327322384855024,-0.013975127352878564,-0.013975127352878564,,,,,,,,,,,115.5537,55.51,6031.20909090909,12.979999542236328,55.34000015258789
2020-01-24,14.649999618530273,43.20236587524414,16.84000015258789,147.97999572753906,91.44000244140625,,,,,,,,,,,,,,,,-0.0033248442548332543,-0.001084145550307674,-0.00530237571117023,-0.002638672415711043,-0.012007040424494147,-0.005360963417331724,0.002706074338207452,0.0015934107216571294,-0.015894847044481217,-0.00934287305052666,-0.0033248442548332543,-0.0033248442548332543,-0.00530237571117023,-0.00530237571117023,-0.012007040424494147,-0.012007040424494147,0.002706074338207452,0.002706074338207452,-0.015894847044481217,-0.015894847044481217,,,,,,,,,,,115.5545,54.09,6031.20909090909,14.5600004196167,59.939998626708984
2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.5545,54.09,6031.20909090909,,
2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.5545,54.09,6031.20909090909,,
2020-01-27,14.489999771118164,42.01057434082031,16.299999237060547,148.99000549316406,88.80000305175781,,,,,,,,,,,,,,,,-0.005859632735282812,-0.002199022120242248,-0.012737882617732402,-0.005466007816054459,-0.018700341173421186,-0.00838753648939223,0.0040805488760471634,0.0021863475847653177,-0.020224753918713388,-0.011556059293630652,-0.005859632735282812,-0.005859632735282812,-0.012737882617732402,-0.012737882617732402,-0.018700341173421186,-0.018700341173421186,0.0040805488760471634,0.0040805488760471634,-0.020224753918713388,-0.020224753918713388,,,,,,,,,,,115.7994,53.09,6031.20909090909,18.229999542236328,66.7300033569336
2020-01-28,14.59000015258789,42.37016677856445,16.200000762939453,147.66000366210938,90.0,,,,,,,,,,,,,,,,-0.0016030957877011462,-0.001190286762694613,-0.00563392503856925,-0.003911333471434972,-0.014509016766727861,-0.008137838858437073,-0.0002581650176430001,0.0009545050437650336,-0.00897106169248158,-0.008777209896872586,-0.0016030957877011462,-0.0016030957877011462,-0.00563392503856925,-0.00563392503856925,-0.014509016766727861,-0.014509016766727861,-0.0002581650176430001,-0.0002581650176430001,-0.00897106169248158,-0.00897106169248158,,,,,,,,,,,115.7226,53.33,6031.20909090909,16.280000686645508,65.5999984741211
2020-01-29,14.569999694824219,42.46263122558594,16.110000610351562,148.4600067138672,89.27999877929688,,,,,,,,,,,,,,,,-0.0015256400120273507,-0.0012099083724298834,-0.003027340628198421,-0.0032490835731271914,-0.011523185861402531,-0.007857199961146442,0.0016347012985800178,0.0014395792108750354,-0.00864723290588158,-0.008692744998987206,-0.0015256400120273507,-0.0015256400120273507,-0.003027340628198421,-0.003027340628198421,-0.011523185861402531,-0.011523185861402531,0.0016347012985800178,0.0016347012985800178,-0.00864723290588158,-0.00864723290588158,,,,,,,,,,,115.6986,53.29,6031.20909090909,16.389999389648438,66.16999816894531
2020-01-30,14.390000343322754,42.46263122558594,16.0,148.47000122070312,88.63999938964844,,,,,,,,,,,,,,,,-0.005136215183943185,-0.002399902481924,-0.0020179235248129123,-0.002902141630077953,-0.009957684694932972,-0.00774731058506328,0.0011120841020679307,0.0012930474743004618,-0.008154157669732572,-0.008529978745665606,-0.005136215183943185,-0.005136215183943185,-0.0020179235248129123,-0.0020179235248129123,-0.009957684694932972,-0.009957684694932972,0.0011120841020679307,0.0011120841020679307,-0.008154157669732572,-0.008154157669732572,,,,,,,,,,,115.8065,52.19,6031.20909090909,15.489999771118164,71.06999969482422
2020-01-31,14.420000076293945,42.26742935180664,15.779999732971191,149.3300018310547,86.72000122070312,-0.15378612041355066,,,0.03737412293761211,,,-0.10847462978580158,,,-0.032214735203038525,,,-0.05207355191690666,,,-0.0027287399608666107,-0.0019285055264065176,-0.0028777971662631674,-0.0030802962829206124,-0.011222048846746763,-0.00837827352188267,0.0026725089242252646,0.0017659903901043217,-0.01265721768310317,-0.009910181890624009,-0.0027287399608666107,-0.0027287399608666107,-0.0028777971662631674,-0.0028777971662631674,-0.011222048846746763,-0.011222048846746763,0.0026725089242252646,0.0026725089242252646,-0.01265721768310317,-0.01265721768310317,0.16230427751298704,,0.12312297295616197,,0.17004234712038374,,0.0929801314093279,,0.24526487750353387,,115.7342,51.58,6031.20909090909,18.84000015258789,72.9800033569336
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.7342,51.58,5687.75,,
2020-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.7342,51.58,5687.75,,
2020-02-03,14.350000381469727,42.99688720703125,15.75,148.36000061035156,83.91999816894531,-0.20409715263824801,,,0.017139722950354708,,,-0.09742124290045517,,,-0.025797635612750947,,,-0.03236984473621085,,,-0.0034373706018144593,-0.002231742641028643,0.003835084177207113,-0.0009723995188703342,-0.008114658504328763,-0.007706975465157108,-0.0003839655042904115,0.0009097419752157001,-0.019201639035874553,-0.012229425826628499,-0.0034373706018144593,-0.0034373706018144593,0.003835084177207113,0.003835084177207113,-0.008114658504328763,-0.008114658504328763,-0.0003839655042904115,-0.0003839655042904115,-0.019201639035874553,-0.019201639035874553,0.1588167768863993,,0.1407716756286926,,0.16738952189502548,,0.08719763504191767,,0.2202286498765898,,116.1176,50.06,5687.75,17.969999313354492,72.80999755859375
2020-02-04,14.460000038146973,43.387298583984375,15.989999771118164,146.42999267578125,83.5199966430664,-0.20668695277862725,,,-0.006513377555075861,,,-0.08471663425338438,,,-0.014986393900226491,,,-0.017906931481995403,,,0.00026390976651884855,-0.001218880444164779,0.00558354246520764,5.6342204563703084e-05,-0.00032971842547806706,-0.0053588240427055725,-0.0045926689202349345,-0.0005146693564722404,-0.014389484744309247,-0.011465681001794863,0.00026390976651884855,0.00026390976651884855,0.00558354246520764,0.00558354246520764,-0.00032971842547806706,-0.00032971842547806706,-0.0045926689202349345,-0.0045926689202349345,-0.014389484744309247,-0.014389484744309247,0.1614867000371651,,0.14447907321320086,,0.1803312673020991,,0.09222796980077452,,0.21880123959156622,,115.929,49.59,5687.75,16.049999237060547,68.16999816894531
2020-02-05,14.430000305175781,43.859901428222656,16.25,146.61000061035156,85.5999984741211,-0.1850723750187303,,,-0.009191056289329036,,,-0.07248860870896234,,,-0.016359902513292557,,,-0.004431029659142438,,,-0.0005156632396073505,-0.0013054706462400437,0.007353351540541952,0.001152777760974858,0.005200575282926051,-0.0031713785904334407,-0.0026518938091840355,-0.0003382106534258988,-0.0012907992311699192,-0.007785713916929198,-0.0005156632396073505,-0.0005156632396073505,0.007353351540541952,0.007353351540541952,0.005200575282926051,0.005200575282926051,-0.0026518938091840355,-0.0026518938091840355,-0.0012907992311699192,-0.0012907992311699192,0.16156010034036314,,0.14980522667732243,,0.19245551558526058,,0.0911340462924022,,0.25025705090604833,,116.0082,50.87,5687.75,15.149999618530273,64.06999969482422
2020-02-06,14.350000381469727,43.56195831298828,16.299999237060547,147.39999389648438,85.91999816894531,-0.15165877562679608,,,0.003676925533764086,,,-0.07333717477754287,,,-0.024473124115817146,,,-0.01165509840558876,,,-0.002191841919841434,-0.0017299712127872879,0.0026376929603090164,0.00035697952169807336,0.004492647528772791,-0.0025455984297514966,2.8310175419523933e-05,0.00023532536925106683,0.00038563832255127063,-0.006631550309700486,-0.002191841919841434,-0.002191841919841434,0.0026376929603090164,0.0026376929603090164,0.004492647528772791,0.004492647528772791,2.8310175419523933e-05,2.8310175419523933e-05,0.00038563832255127063,0.00038563832255127063,0.1618667714538293,,0.15151831611771732,,0.19203020840115634,,0.08944387525490195,,0.2350853427254735,,116.1508,50.94,5687.75,14.960000038146973,61.2400016784668
2020-02-07,14.470000267028809,42.99688720703125,16.020000457763672,147.7899932861328,84.63999938964844,-0.15292232845582487,,,0.012052280500912005,,,-0.08665908656926502,,,-0.013633252094410464,,,-0.027196590787770147,,,0.0013263186514371702,-0.0007284536704103786,-0.0025655635493250593,-0.0009656949884873299,-0.0027310390379566784,-0.003997636088476053,0.0009008490098296733,0.00047453571239240293,-0.00470889737241409,-0.007451832349742135,0.0013263186514371702,0.0013263186514371702,-0.0025655635493250593,-0.0025655635493250593,-0.0027310390379566784,-0.0027310390379566784,0.0009008490098296733,0.0009008490098296733,-0.00470889737241409,-0.00470889737241409,0.1650169268406968,,0.15692582930834478,,0.197701648205977,,0.08720624443199075,,0.2355913286680214,,116.5075,50.34,5687.75,15.470000267028809,65.58999633789062
2020-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.5075,50.34,5687.75,,
2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.5075,50.34,5687.75,,
2020-02-10,14.420000076293945,42.93524169921875,16.049999237060547,148.1699981689453,83.36000061035156,-0.16035453630832586,,,0.008576641994604506,,,-0.08910337839922366,,,-0.024357216724040898,,,-0.026328000833250043,,,-0.00026762833232001814,-0.0009968326782745637,-0.0021882758084390925,-0.0010117561804672906,-0.0011964713741872276,-0.0034199123885519695,0.0014576588303115308,0.0006808859347909313,-0.008180279025440692,-0.00820678440659114,-0.00026762833232001814,-0.00026762833232001814,-0.0021882758084390925,-0.0021882758084390925,-0.0011964713741872276,-0.0011964713741872276,0.0014576588303115308,0.0014576588303115308,-0.008180279025440692,-0.008180279025440692,0.16258672377525688,,0.15688040797856456,,0.1964100366352959,,0.08529032219395684,,0.23688860348925586,,116.5701,49.59,5687.75,15.039999961853027,68.12999725341797
2020-02-11,14.350000381469727,43.17154312133789,16.229999542236328,147.66000366210938,84.0,-0.13934424883958552,,,0.012618270782277063,,,-0.09430806511509393,,,-0.03367003280511127,,,-0.026413272180419556,,,-0.0017965527428858666,-0.0013736453164376792,0.00037573637239417615,-0.0003753114573775517,0.0029407252356576812,-0.0019903367131597224,-0.00017556503574236724,0.0002781555119582661,-0.00289427872186034,-0.0066551604971277056,-0.0017965527428858666,-0.0017965527428858666,0.00037573637239417615,0.00037573637239417615,0.0029407252356576812,0.0029407252356576812,-0.00017556503574236724,-0.00017556503574236724,-0.00289427872186034,-0.00289427872186034,0.1616229564004364,,0.1568324958150592,,0.18934156593603263,,0.08172180244720159,,0.24074798981257958,,116.3572,50.0,5687.75,15.180000305175781,64.88999938964844
2020-02-12,14.430000305175781,43.32564926147461,16.3799991607666,147.5399932861328,86.4800033569336,-0.11970678707814764,,,0.012698131743601238,,,-0.088987787664355,,,-0.02893669996205195,,,-0.023164407951258514,,,0.0006606198687043846,-0.0006994583560988794,0.0014403736295474031,7.447884879253343e-06,0.005041206899800125,-0.0009005016413360663,-0.0003879610261546028,0.00017231002656713733,0.00791184854699926,-0.003144873151028027,0.0006606198687043846,0.0006606198687043846,0.0014403736295474031,0.0014403736295474031,0.005041206899800125,0.005041206899800125,-0.0003879610261546028,-0.0003879610261546028,0.00791184854699926,0.00791184854699926,0.16336662088001536,,0.15764783511810665,,0.19352830081873762,,0.08170401500766332,,0.26859143040273314,,116.2777,51.13,5687.75,13.739999771118164,63.52000045776367
2020-02-13,14.359999656677246,43.15099334716797,16.43000030517578,148.3800048828125,86.72000122070312,-0.11001643013247464,,,0.012556378333434814,,,-0.08467968764112521,,,-0.029729765431561805,,,-0.01823292108186436,,,-0.0011766128986755431,-0.0010998198903618328,-0.00038350573774902395,-0.0003820253367383174,0.0043783255012614895,-0.0005192841920527714,0.0016391866038199868,0.0007047449298658052,0.006199617878843013,-0.002573968477198375,-0.0011766128986755431,-0.0011766128986755431,-0.00038350573774902395,-0.00038350573774902395,0.0043783255012614895,0.0043783255012614895,0.0016391866038199868,0.0016391866038199868,0.006199617878843013,0.006199617878843013,0.16355961137199843,,0.15539921129031217,,0.19503977543533968,,0.08159204365865491,,0.2701096346082689,,116.398,51.41,5687.75,14.149999618530273,63.5099983215332
2020-02-14,14.260000228881836,42.83249282836914,16.329999923706055,149.0,87.5999984741211,-0.10903174587039233,,,0.018385636568198027,,,-0.0856663289114743,,,-0.012465329413582027,,,-0.03159134246387252,,,-0.003105664845980051,-0.0016622037814366035,-0.0027160353942511785,-0.001053273294506501,0.0008900547490586212,-0.0010532068781544902,0.002485603233310331,0.0010378907272286363,0.007515606381676468,-0.0013539011045534785,-0.003105664845980051,-0.003105664845980051,-0.0027160353942511785,-0.0027160353942511785,0.0008900547490586212,0.0008900547490586212,0.002485603233310331,0.002485603233310331,0.007515606381676468,0.007515606381676468,0.1425939265988915,,0.15470812081272445,,0.19513623256715965,,0.08208815119969592,,0.2708875589153186,,116.42,52.03,5687.75,13.680000305175781,62.380001068115234
2020-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.42,52.03,5687.75,,
2020-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.42,52.03,5687.75,,
2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.42,52.03,5687.75,,
2020-02-18,14.449999809265137,42.50373077392578,16.389999389648438,150.91000366210938,87.5999984741211,-0.11192215109326042,,,0.029540194958145527,,,-0.08282044656291421,,,-0.024966254600416904,,,-0.041473499151855164,,,0.002370887306246141,-0.00023209227245701811,-0.004369203867062467,-0.0016852274610870907,0.0018181008309163457,-0.0006020772392113929,0.005930015647142949,0.0021621307321152833,0.00501039844782987,-0.0012246999016405937,0.002370887306246141,0.002370887306246141,-0.004369203867062467,-0.004369203867062467,0.0018181008309163457,0.0018181008309163457,0.005930015647142949,0.005930015647142949,0.00501039844782987,0.00501039844782987,0.11644674763905064,,0.1554020057488256,,0.19638425045817826,,0.09192508555544969,,0.2698184400323904,,116.6016,52.1,5687.75,14.829999923706055,67.66000366210938
2020-02-19,14.380000114440918,42.483177185058594,16.399999618530273,151.7899932861328,89.44000244140625,-0.09326842057145901,,,0.035543671646853126,,,-0.0822608366909392,,,-0.02968958093413243,,,-0.04326706902556399,,,-3.4168712810848116e-05,-0.0006702466294758809,-0.0030739910454583167,-0.0015710707844483762,0.0014154473032094606,-0.0004869170548815106,0.005897084139005219,0.002510692353445712,0.01034181115824405,0.000887072718550779,-3.4168712810848116e-05,-3.4168712810848116e-05,-0.0030739910454583167,-0.0030739910454583167,0.0014154473032094606,0.0014154473032094606,0.005897084139005219,0.005897084139005219,0.01034181115824405,0.01034181115824405,0.11703714357474382,,0.15502673686798718,,0.19655350598540158,,0.09301642902833077,,0.2846167418394314,,116.7802,53.31,5687.75,14.380000114440918,68.04000091552734
2020-02-20,14.300000190734863,42.5859260559082,16.25,152.41000366210938,90.23999786376953,-0.07843137713222958,,,0.03863975709888767,,,-0.0714285714285714,,,-0.03182127640231447,,,-0.029728334415406676,,,-0.0018772067027133796,-0.0011331882702434017,-0.0012431328647553007,-0.0011936003122167724,-0.002105144896508413,-0.0013062043229726398,0.005292941833934934,0.0026596092190126442,0.009876037760023324,0.001649405019134136,-0.0018772067027133796,-0.0018772067027133796,-0.0012431328647553007,-0.0012431328647553007,-0.002105144896508413,-0.002105144896508413,0.005292941833934934,0.005292941833934934,0.009876037760023324,0.009876037760023324,0.11774407754296275,,0.151752511709007,,0.18807541448954368,,0.0933547347481207,,0.28814299707596286,,117.2434,53.77,5687.75,15.5600004196167,69.5999984741211
